TAZ,TRACT_2000,COUNTY,CDP,SOUTH_LAKE
246,6061020102.0,Placer,0,0
243,6061020102.0,Placer,0,0
247,6061020102.0,Placer,0,0
261,6061020103.0,Placer,0,0
262,6061020103.0,Placer,0,0
263,6061020103.0,Placer,0,0
273,6061020104.0,Placer,0,0
275,6061020105.0,Placer,0,0
279,6061020105.0,Placer,0,0
287,6061020106.0,Placer,0,0
288,6061020106.0,Placer,Kings Beach,0
392,32031003304.0,Washoe,Incline Village-Crystal Bay,0
391,32031003304.0,Washoe,Incline Village-Crystal Bay,0
387,32031003304.0,Washoe,Incline Village-Crystal Bay,0
386,32031003304.0,Washoe,Incline Village-Crystal Bay,0
385,32031003304.0,Washoe,0,0
369,32031003304.0,Washoe,Incline Village-Crystal Bay,0
368,32031003304.0,Washoe,Incline Village-Crystal Bay,0
366,32031003304.0,Washoe,Incline Village-Crystal Bay,0
359,32031003304.0,Washoe,Incline Village-Crystal Bay,0
357,32031003304.0,Washoe,Incline Village-Crystal Bay,0
356,32031003304.0,Washoe,Incline Village-Crystal Bay,0
353,32031003304.0,Washoe,Incline Village-Crystal Bay,0
351,32510000300.0,Carson City,Carson City,0
347,32510000300.0,Carson City,Carson City,0
346,32510000300.0,Carson City,Carson City,0
344,32005000301.0,Douglas,0,0
339,32005000301.0,Douglas,0,0
338,32005000301.0,Douglas,0,0
335,32005000301.0,Douglas,0,0
331,32005000301.0,Douglas,0,0
327,32005000301.0,Douglas,Zephyr Cove-Round Hill Village,0
325,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
316,32005000400.0,Douglas,Kingsbury,0
311,32005000400.0,Douglas,Kingsbury,0
309,32005000400.0,Douglas,Kingsbury,0
308,32005000400.0,Douglas,Kingsbury,0
163,6017030501.0,El Dorado,0,0
164,6017030501.0,El Dorado,0,0
172,6017030501.0,El Dorado,0,0
187,6017030501.0,El Dorado,0,0
189,6017030501.0,El Dorado,0,0
192,6017030501.0,El Dorado,0,0
232,6017030503.0,El Dorado,0,0
211,6017030503.0,El Dorado,0,0
215,6017030503.0,El Dorado,0,0
217,6017030503.0,El Dorado,0,0
226,6017030503.0,El Dorado,0,0
227,6017030503.0,El Dorado,0,0
234,6061020101.0,Placer,0,0
240,6061020101.0,Placer,0,0
241,6061020101.0,Placer,0,0
242,6061020101.0,Placer,0,0
244,6061020102.0,Placer,0,0
245,6061020102.0,Placer,0,0
248,6061020102.0,Placer,Sunnyside-Tahoe City,0
252,6061020103.0,Placer,0,0
251,6061020103.0,Placer,Sunnyside-Tahoe City,0
253,6061020103.0,Placer,Sunnyside-Tahoe City,0
260,6061020103.0,Placer,Sunnyside-Tahoe City,0
255,6061020103.0,Placer,Sunnyside-Tahoe City,0
264,6061020104.0,Placer,0,0
265,6061020104.0,Placer,Dollar Point,0
272,6061020104.0,Placer,Dollar Point,0
266,6061020104.0,Placer,Dollar Point,0
271,6061020104.0,Placer,0,0
274,6061020105.0,Placer,0,0
276,6061020105.0,Placer,0,0
277,6061020105.0,Placer,0,0
278,6061020105.0,Placer,0,0
286,6061020106.0,Placer,Tahoe Vista,0
280,6061020106.0,Placer,Tahoe Vista,0
284,6061020106.0,Placer,Tahoe Vista,0
283,6061020106.0,Placer,Tahoe Vista,0
282,6061020106.0,Placer,Tahoe Vista,0
290,6061020107.0,Placer,Kings Beach,0
292,6061020107.0,Placer,Kings Beach,0
393,32031003304.0,Washoe,Incline Village-Crystal Bay,0
394,32031003304.0,Washoe,Incline Village-Crystal Bay,0
389,32031003302.0,Washoe,Incline Village-Crystal Bay,0
390,32031003302.0,Washoe,Incline Village-Crystal Bay,0
382,32031003302.0,Washoe,Incline Village-Crystal Bay,0
383,32031003302.0,Washoe,Incline Village-Crystal Bay,0
374,32031003304.0,Washoe,Incline Village-Crystal Bay,0
370,32031003304.0,Washoe,Incline Village-Crystal Bay,0
367,32031003304.0,Washoe,Incline Village-Crystal Bay,0
361,32031003302.0,Washoe,Incline Village-Crystal Bay,0
360,32031003302.0,Washoe,Incline Village-Crystal Bay,0
358,32031003304.0,Washoe,Incline Village-Crystal Bay,0
355,32031003302.0,Washoe,Incline Village-Crystal Bay,0
354,32031003302.0,Washoe,Incline Village-Crystal Bay,0
352,32031003302.0,Washoe,Incline Village-Crystal Bay,0
350,32510000300.0,Carson City,Carson City,0
348,32510000300.0,Carson City,Carson City,0
349,32510000300.0,Carson City,Carson City,0
345,32510000300.0,Carson City,Carson City,0
343,32005000301.0,Douglas,0,0
341,32005000301.0,Douglas,0,0
340,32005000301.0,Douglas,0,0
336,32005000301.0,Douglas,0,0
333,32005000301.0,Douglas,0,0
334,32005000301.0,Douglas,0,0
332,32005000301.0,Douglas,0,0
329,32005000301.0,Douglas,0,0
330,32005000301.0,Douglas,0,0
328,32005000301.0,Douglas,0,0
324,32005000301.0,Douglas,Zephyr Cove-Round Hill Village,0
326,32005000301.0,Douglas,Zephyr Cove-Round Hill Village,0
323,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
320,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
315,32005000400.0,Douglas,Kingsbury,0
313,32005000400.0,Douglas,Kingsbury,0
312,32005000400.0,Douglas,Kingsbury,0
303,32005000400.0,Douglas,Kingsbury,0
304,32005000400.0,Douglas,Kingsbury,0
302,32005000302.0,Douglas,Stateline,0
307,32005000400.0,Douglas,Kingsbury,0
117,6017030501.0,El Dorado,0,0
136,6017030200.0,El Dorado,0,0
166,6017030501.0,El Dorado,0,0
165,6017030501.0,El Dorado,0,0
171,6017030501.0,El Dorado,0,0
177,6017030501.0,El Dorado,0,0
174,6017030501.0,El Dorado,0,0
173,6017030501.0,El Dorado,0,0
175,6017030501.0,El Dorado,0,0
185,6017030501.0,El Dorado,0,0
186,6017030501.0,El Dorado,0,0
191,6017030501.0,El Dorado,0,0
188,6017030501.0,El Dorado,0,0
190,6017030501.0,El Dorado,0,0
193,6017030501.0,El Dorado,0,0
195,6017030502.0,El Dorado,0,0
196,6017030502.0,El Dorado,0,0
194,6017030502.0,El Dorado,0,0
210,6017030503.0,El Dorado,0,0
209,6017030503.0,El Dorado,0,0
208,6017030503.0,El Dorado,0,0
207,6017030503.0,El Dorado,0,0
214,6017030503.0,El Dorado,0,0
216,6017030503.0,El Dorado,0,0
218,6017030503.0,El Dorado,0,0
219,6017030503.0,El Dorado,0,0
223,6017030503.0,El Dorado,0,0
222,6017030503.0,El Dorado,0,0
225,6017030503.0,El Dorado,0,0
224,6017030503.0,El Dorado,0,0
228,6017030503.0,El Dorado,0,0
229,6017030503.0,El Dorado,0,0
230,6017030503.0,El Dorado,0,0
233,6061020101.0,Placer,0,0
235,6061020101.0,Placer,0,0
236,6061020101.0,Placer,0,0
238,6061020101.0,Placer,0,0
239,6061020101.0,Placer,0,0
237,6061020101.0,Placer,0,0
231,6017030503.0,El Dorado,0,0
221,6017030503.0,El Dorado,0,0
220,6017030503.0,El Dorado,0,0
212,6017030503.0,El Dorado,0,0
204,6017030503.0,El Dorado,0,0
203,6017030503.0,El Dorado,0,0
145,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
153,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
144,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
138,6017030300.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
137,6017030300.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
120,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
119,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
118,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
111,6017030102.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
109,6017030101.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
300,32005000302.0,Douglas,Stateline,0
301,32005000302.0,Douglas,Stateline,0
317,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
318,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
319,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
337,32005000301.0,Douglas,0,0
342,32005000301.0,Douglas,0,0
322,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
321,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
314,32005000302.0,Douglas,Zephyr Cove-Round Hill Village,0
305,32005000400.0,Douglas,Kingsbury,0
110,6017030101.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
116,6017030102.0,El Dorado,0,0
115,6017030102.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
114,6017030102.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
135,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
134,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
133,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
132,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
167,6017030501.0,El Dorado,0,0
168,6017030501.0,El Dorado,0,0
169,6017030501.0,El Dorado,0,0
170,6017030501.0,El Dorado,0,0
178,6017030501.0,El Dorado,0,0
179,6017030501.0,El Dorado,0,0
176,6017030501.0,El Dorado,0,0
184,6017030501.0,El Dorado,0,0
197,6017030502.0,El Dorado,0,0
199,6017030502.0,El Dorado,0,0
200,6017030502.0,El Dorado,0,0
202,6017030502.0,El Dorado,0,0
206,6017030503.0,El Dorado,0,0
213,6017030503.0,El Dorado,0,0
205,6017030503.0,El Dorado,0,0
146,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
154,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
151,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
152,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
148,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
140,6017030300.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
141,6017030300.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
139,6017030300.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
127,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
121,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
122,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
124,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
123,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
112,6017030102.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
113,6017030102.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
125,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
126,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
130,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
131,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
142,6017030300.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
143,6017030300.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
180,6017030501.0,El Dorado,0,0
181,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
182,6017030402.0,El Dorado,0,0
198,6017030502.0,El Dorado,0,0
183,6017030402.0,El Dorado,0,0
201,6017030502.0,El Dorado,0,0
155,6017030502.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
156,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
149,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
147,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
150,6017030401.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
161,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
128,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
129,6017030200.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
162,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
160,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
159,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
158,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
157,6017030402.0,El Dorado,South Lake Tahoe,City of South Lake Tahoe
306,32005000302.0,Douglas,Stateline,0
363,32031003302.0,Washoe,Incline Village-Crystal Bay,0
375,32031003302.0,Washoe,Incline Village-Crystal Bay,0
388,32031003304.0,Washoe,Incline Village-Crystal Bay,0
396,32031003304.0,Washoe,Incline Village-Crystal Bay,0
397,32031003304.0,Washoe,Incline Village-Crystal Bay,0
291,6061020107.0,Placer,Kings Beach,0
289,6061020107.0,Placer,Kings Beach,0
281,6061020106.0,Placer,Tahoe Vista,0
285,6061020106.0,Placer,Tahoe Vista,0
395,32031003304.0,Washoe,Incline Village-Crystal Bay,0
377,32031003302.0,Washoe,Incline Village-Crystal Bay,0
381,32031003302.0,Washoe,Incline Village-Crystal Bay,0
378,32031003302.0,Washoe,Incline Village-Crystal Bay,0
380,32031003302.0,Washoe,Incline Village-Crystal Bay,0
384,32031003304.0,Washoe,Incline Village-Crystal Bay,0
373,32031003304.0,Washoe,Incline Village-Crystal Bay,0
371,32031003304.0,Washoe,Incline Village-Crystal Bay,0
362,32031003302.0,Washoe,Incline Village-Crystal Bay,0
364,32031003302.0,Washoe,Incline Village-Crystal Bay,0
376,32031003302.0,Washoe,Incline Village-Crystal Bay,0
379,32031003302.0,Washoe,Incline Village-Crystal Bay,0
372,32031003304.0,Washoe,Incline Village-Crystal Bay,0
365,32031003302.0,Washoe,Incline Village-Crystal Bay,0
268,6061020104.0,Placer,Dollar Point,0
267,6061020104.0,Placer,Dollar Point,0
259,6061020103.0,Placer,0,0
257,6061020103.0,Placer,Sunnyside-Tahoe City,0
256,6061020103.0,Placer,Sunnyside-Tahoe City,0
254,6061020103.0,Placer,Sunnyside-Tahoe City,0
249,6061020102.0,Placer,Sunnyside-Tahoe City,0
250,6061020102.0,Placer,Sunnyside-Tahoe City,0
258,6061020103.0,Placer,Sunnyside-Tahoe City,0
269,6061020105.0,Placer,0,0
270,6061020104.0,Placer,Dollar Point,0
310,32005000400.0,Douglas,Kingsbury,0
