a,tours,obStops,ibStops,gaming,rec,shop,firstGame,firstRec,lastRec,recBshop
1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2.00,1.00,.00,.00,1.00,.00,.00,1.00,.00,.00,.00
3.00,2.00,.00,.00,2.00,.00,.00,1.00,.00,.00,.00
4.00,2.00,.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
5.00,2.00,.00,.00,1.00,1.00,.00,1.00,.00,1.00,.00
6.00,3.00,.00,.00,1.00,1.00,.00,1.00,.00,.00,.00
7.00,2.00,1.00,.00,1.00,1.00,.00,1.00,.00,1.00,.00
8.00,2.00,1.00,1.00,1.00,1.00,.00,1.00,.00,1.00,.00
9.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00,.00,.00
10.00,2.00,.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
11.00,2.00,.00,1.00,1.00,.00,.00,1.00,.00,.00,.00
12.00,2.00,1.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
13.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
14.00,2.00,.00,.00,1.00,.00,.00,.00,.00,.00,.00
15.00,2.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
16.00,3.00,.00,.00,1.00,.00,.00,.00,.00,.00,.00
17.00,4.00,.00,.00,2.00,.00,.00,.00,.00,.00,.00
18.00,3.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
19.00,3.00,.00,.00,.00,1.00,.00,.00,.00,1.00,.00
20.00,5.00,.00,.00,.00,2.00,.00,.00,.00,.00,.00
21.00,3.00,.00,.00,.00,.00,1.00,.00,.00,.00,.00
22.00,2.00,.00,1.00,.00,.00,.00,.00,.00,.00,.00
23.00,2.00,.00,.00,.00,1.00,.00,.00,.00,1.00,.00
24.00,3.00,.00,.00,1.00,1.00,.00,.00,.00,.00,1.00
25.00,3.00,.00,.00,.00,2.00,.00,.00,.00,1.00,.00
26.00,3.00,.00,.00,.00,1.00,1.00,.00,.00,.00,.00
27.00,2.00,.00,1.00,.00,1.00,.00,.00,.00,1.00,.00
28.00,2.00,.00,.00,.00,.00,1.00,.00,.00,.00,.00
29.00,3.00,.00,.00,.00,1.00,1.00,.00,.00,1.00,.00
30.00,3.00,.00,.00,.00,.00,2.00,.00,.00,.00,.00
31.00,2.00,1.00,.00,1.00,.00,.00,.00,.00,.00,.00
32.00,2.00,1.00,1.00,1.00,.00,.00,.00,.00,.00,.00
33.00,2.00,1.00,1.00,.00,.00,.00,.00,.00,.00,.00
34.00,2.00,1.00,.00,.00,1.00,.00,.00,.00,1.00,.00
35.00,2.00,1.00,1.00,.00,1.00,.00,.00,.00,1.00,.00
36.00,2.00,1.00,1.00,.00,.00,1.00,.00,.00,.00,.00
37.00,1.00,.00,1.00,.00,.00,.00,.00,.00,.00,.00
38.00,2.00,.00,2.00,.00,.00,1.00,.00,.00,.00,.00
39.00,2.00,1.00,1.00,1.00,.00,.00,.00,.00,.00,.00
40.00,1.00,.00,.00,.00,1.00,.00,.00,1.00,1.00,.00
41.00,2.00,.00,.00,1.00,1.00,.00,.00,1.00,.00,1.00
42.00,3.00,.00,.00,2.00,1.00,.00,.00,1.00,.00,1.00
43.00,2.00,.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
44.00,2.00,.00,.00,.00,1.00,.00,.00,1.00,.00,.00
45.00,3.00,.00,.00,1.00,1.00,.00,.00,1.00,.00,1.00
46.00,3.00,.00,.00,.00,1.00,.00,.00,1.00,.00,.00
47.00,3.00,.00,.00,.00,2.00,.00,.00,1.00,1.00,.00
48.00,2.00,.00,.00,.00,2.00,.00,.00,1.00,1.00,.00
49.00,3.00,.00,.00,1.00,2.00,.00,.00,1.00,.00,1.00
50.00,3.00,.00,.00,.00,2.00,.00,.00,1.00,.00,.00
51.00,3.00,.00,.00,.00,3.00,.00,.00,1.00,1.00,.00
52.00,2.00,.00,.00,.00,1.00,1.00,.00,1.00,.00,.00
53.00,3.00,.00,.00,.00,1.00,1.00,.00,1.00,.00,.00
54.00,4.00,.00,.00,.00,1.00,1.00,.00,1.00,.00,.00
55.00,2.00,.00,1.00,.00,1.00,1.00,.00,1.00,.00,.00
56.00,2.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00,1.00
57.00,2.00,1.00,.00,.00,2.00,.00,.00,1.00,1.00,.00
58.00,2.00,1.00,1.00,.00,2.00,.00,.00,1.00,1.00,.00
59.00,2.00,1.00,1.00,.00,1.00,1.00,.00,1.00,.00,.00
60.00,1.00,.00,1.00,.00,1.00,.00,.00,1.00,1.00,.00
61.00,2.00,.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
62.00,2.00,.00,1.00,.00,1.00,.00,.00,1.00,.00,.00
63.00,2.00,.00,1.00,.00,2.00,.00,.00,1.00,1.00,.00
64.00,2.00,.00,2.00,.00,2.00,.00,.00,1.00,1.00,.00
65.00,2.00,1.00,2.00,1.00,1.00,.00,.00,1.00,.00,1.00
66.00,2.00,1.00,1.00,.00,2.00,.00,.00,1.00,1.00,.00
67.00,1.00,.00,.00,.00,.00,1.00,.00,.00,.00,.00
68.00,2.00,.00,.00,.00,.00,1.00,.00,.00,.00,.00
69.00,3.00,.00,.00,1.00,.00,1.00,.00,.00,.00,.00
70.00,3.00,.00,.00,.00,.00,1.00,.00,.00,.00,.00
71.00,2.00,.00,.00,.00,1.00,1.00,.00,.00,1.00,.00
72.00,3.00,.00,.00,1.00,1.00,1.00,.00,.00,.00,1.00
73.00,3.00,.00,.00,.00,1.00,1.00,.00,.00,.00,.00
74.00,2.00,.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00
75.00,2.00,.00,.00,.00,.00,2.00,.00,.00,.00,.00
76.00,2.00,.00,1.00,.00,.00,2.00,.00,.00,.00,.00
77.00,2.00,1.00,.00,.00,1.00,1.00,.00,.00,1.00,.00
78.00,2.00,1.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00
79.00,1.00,.00,1.00,.00,.00,1.00,.00,.00,.00,.00
80.00,2.00,.00,1.00,1.00,.00,1.00,.00,.00,.00,.00
81.00,2.00,.00,1.00,.00,.00,1.00,.00,.00,.00,.00
82.00,1.00,1.00,.00,1.00,.00,.00,1.00,.00,.00,.00
83.00,2.00,1.00,.00,2.00,.00,.00,1.00,.00,.00,.00
84.00,2.00,1.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
85.00,2.00,1.00,.00,1.00,.00,.00,1.00,.00,.00,.00
86.00,1.00,1.00,1.00,1.00,.00,.00,1.00,.00,.00,.00
87.00,2.00,1.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
88.00,2.00,1.00,1.00,1.00,.00,.00,1.00,.00,.00,.00
89.00,2.00,2.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
90.00,1.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00
91.00,2.00,1.00,1.00,.00,1.00,.00,.00,.00,1.00,.00
92.00,1.00,1.00,1.00,.00,.00,.00,.00,.00,.00,.00
93.00,2.00,1.00,1.00,1.00,.00,.00,.00,.00,.00,.00
94.00,2.00,1.00,1.00,.00,1.00,.00,.00,.00,1.00,.00
95.00,1.00,1.00,.00,.00,1.00,.00,.00,1.00,1.00,.00
96.00,2.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00,1.00
97.00,2.00,1.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
98.00,2.00,1.00,.00,.00,1.00,.00,.00,1.00,.00,.00
99.00,2.00,1.00,1.00,.00,1.00,.00,.00,1.00,.00,.00
100.00,2.00,1.00,.00,.00,2.00,.00,.00,1.00,1.00,.00
101.00,2.00,1.00,1.00,.00,2.00,.00,.00,1.00,1.00,.00
102.00,2.00,1.00,.00,.00,1.00,1.00,.00,1.00,.00,.00
103.00,2.00,2.00,.00,1.00,1.00,.00,.00,1.00,.00,1.00
104.00,2.00,2.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
105.00,2.00,2.00,1.00,.00,2.00,.00,.00,1.00,1.00,.00
106.00,1.00,1.00,1.00,.00,1.00,.00,.00,1.00,1.00,.00
107.00,2.00,1.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
108.00,2.00,1.00,1.00,.00,1.00,.00,.00,1.00,.00,.00
109.00,2.00,2.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
110.00,1.00,1.00,.00,.00,.00,1.00,.00,.00,.00,.00
111.00,2.00,1.00,.00,1.00,.00,1.00,.00,.00,.00,.00
112.00,2.00,1.00,.00,.00,.00,1.00,.00,.00,.00,.00
113.00,2.00,2.00,.00,.00,.00,1.00,.00,.00,.00,.00
114.00,2.00,2.00,1.00,.00,.00,2.00,.00,.00,.00,.00
115.00,1.00,1.00,1.00,.00,.00,1.00,.00,.00,.00,.00
116.00,2.00,1.00,1.00,.00,.00,1.00,.00,.00,.00,.00
117.00,2.00,1.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00
